date,wind,part_time_count,worker_strong_count,worker_trend_count,worker_strong_list,worker_trend_list,boss_pullback_list,boss_bargain_list,top_revenue_list,last_updated
2025 12-04,亂流,24,7,13,勤凱(CB),雍智科技,宜鼎、良維,南亞科、群聯、宜鼎,台積電、南亞科、富世達、奇鋐、台達電、群聯,2025-12-05 13:09
2025 12-03,強風,27,18,16,AES-KY(CB)、勤凱,雍智科技,宜鼎、良維,南亞科、奇鋐、群聯,南亞科、台積電、台達電、鴻海、鴻勁、富喬、奇鋐,2025-12-05 13:09
2025 12-02,強風,14,16,12,AES-KY(CB)、勤凱,雍智科技、三商電,宜鼎、宇瞻,群聯、高力、宜鼎,台積電、台達電、京元電子、鴻海、富喬、奇鋐,2025-12-05 13:09
2025 12-01,強風,27,16,10,AES-KY(CB)、博智,雍智科技、三商電,宜鼎、宇瞻,群聯、高力、宜鼎,台積電、台達電、鴻海、AES-KY、京元電子、台燿,2025-12-05 13:09
2025 11-28,強風,32,29,17,京元電子(CB)、尖點、博智,AES-KY、IET-KY、力旺,群聯、富喬、宜鼎,群聯、台達電、川湖,台積電、鴻海、群聯、創意、京元電子、台達電,2025-12-05 13:09
2025 11-27,強風,29,27,13,台燿(CB)、IET-KY、博智,藥華藥、IET-KY,群聯、川湖、富喬,奇鋐、台達電、群聯,台積電、鴻海、鴻勁、奇鋐、創意、京元電子,2025-12-05 13:09
2025 11-26,陣風,16,23,12,台燿(CB)、IET-KY,,群聯、富喬、川湖,奇鋐、群聯、台達電,台積電、鴻海、奇鋐、群聯、創意、台達電,2025-12-05 13:09
2025 11-25,陣風,16,15,5,創意(CB)、台燿、尖點,,奇鋐、群聯、台達電,奇鋐、群聯、台達電,台積電、鴻海、創意、奇鋐、台燿、群聯,2025-12-05 13:09
2025 11-24,陣風,9,8,3,創意(CB)、永豐金,,京元電子、台達電、群聯,京元電子、台達電、群聯,台積電、京元電子、鴻海、台達電、創意、群聯,2025-12-05 13:09
2025 11-21,無風,5,6,2,,,奇鋐、台達電、京元電子,奇鋐、台達電、京元電子,台積電、鴻海、奇鋐、台達電、富喬、京元電子,2025-12-05 13:09
2025 11-20,陣風,14,12,9,台燿(CB),AES-KY,台達電、奇鋐、宇瞻,台達電、奇鋐、宇瞻,台積電、鴻海、群聯、台達電、奇鋐、創意,2025-12-05 13:09
